Indicateur,ID,Indicateurs_Onglet,Indicateurs_Sous-onglet,Tags objectifs environnementaux,Ordre,Type de graphique,Sous-niveau (graphique),Description,Unité,Périmètre,Sources,Contact source/DG,Lien données source,Lien site source,Etat source,Fichier,2017,label_2017,2018,label_2018,2019,label_2019,2020,label_2020,2021,label_2021,2022,label_2022,2023,label_2023,2024,label_2024,2025,label_2025,2026,label_2026,2027,label_2027,2028,label_2028,2029,label_2029,2030,label_2030,Objectifs 2030,Dernière mise à jour,Responsable SGPE,Version tdb,Prêt à publier,Statut recette,A supprimer de la V1,Commentaire suppression,Commentaire,ID Indicateur hub Ecolab
Part de bois recyclés dans les usages énergie,cc5ea61c-82f7-4020-a6fb-6c08c85c020d,Economie Circulaire,Valorisation des déchets,"Atténuation, Ressources",15,Barres simple,,"Le recyclage permet d'atténuer la pression sur les ressources naturelles. L'indicateur représente la part de bois utilisé pour la production d'énergie issue du recyclage.

",Pourcents,Hexagone,IGN (IGD 6.9),,https://foret.ign.fr/api/upload/IGD_6.9_Donnees_Bois_Energie.xlsx,https://foret.ign.fr/IGD/fr/indicateurs/,Lien seulement,,"10,6382978723",mesuré,,,"10,7305936073",mesuré,,,"10,6666666667",mesuré,,mesuré,,mesuré,,,,,,,,,,,,,,,,2024-08-09 11:57am,,Existant,true,true,false,,,
Part des marchés publics intégrant au moins une considération environnementale,8de641a8-eda7-499a-91d4-6dce071bd356,Economie Circulaire,Etat exemplaire,"Atténuation, Ressources",16,Barres simple,,Une commande publique plus durable permet d'atténuer la pression sur les ressources naturelles nécessaires à leur production et constitue un levier de mobilisation de la sphère privée en intégrant l'obligation de fourniture d'un BEGES pour les entreprises concernées par la loi. L'Etat se doit d'être exemplaire en la matière. L'indicateur représente la part des marchés publics intégrant au moins une considération environnementale.,Pourcents,Hexagone et outre-mer,"Source PPG, données MESFIN",,https://pilote.modernisation.gouv.fr/chantier/CH-155,,Lien seulement,,,,,,,,,,,,21,mesuré,"40,5",projection,60,cible,80,cible,100,cible,100,cible,,,,,,,Cible PPG,2024-08-02 3:19pm,,Existant,true,false,false,,Faustine : 2023 doit apparaître en projection,
Emissions de l'industrie de l'énergie tous gaz à effet de serre ,27223941-3bbb-4bba-8652-271512b4aa99,Energie,Emissions,Atténuation,1,Barres simple,,"L'indicateur représente les émissions de GES directement liées à la production nationale d'énergie.

",Millions de tonnes d'équivalent-CO2 par an,Hexagone et outre-mer,CITEPA,,https://ressources.citepa.org/Comm_Divers/Secten/Citepa_Secten%202024.pdf,https://www.citepa.org/fr/secten/,Lien seulement,,"57,2534899052",mesuré,"47,8767782577",mesuré,"46,0383238254",mesuré,"40,9290147654",mesuré,"42,1173989571",mesuré,"43,1276761067",mesuré,"35,4140094214",mesuré,"33,7570047107",projection,"32,1",cible,"31,1333333333",projection,"30,1666666667",projection,"29,2",cible,"28,3",projection,"27,4",cible,"Cible SNBC run 2
Chiffres 2023 sont des calculs SGPE ",2024-08-02 3:19pm,,Existant,true,false,false,,Faustine : 2024 doit apparaître en projection,
Emissions CO2 de l'industrie de l'énergie ,03deabae-93c9-4f63-b189-cba21006fde8,Energie,Emissions,Atténuation,2,Barres simple,,"L'indicateur représente les émissions de dioxyde de carbone directement liées à la production nationale d'énergie.
",Millions de tonnes d'équivalent-CO2 par an,Hexagone et outre-mer,CITEPA,,https://ressources.citepa.org/Comm_Divers/Secten/Citepa_Secten%202024.pdf,https://www.citepa.org/fr/secten/,Lien seulement,,"55,4158001428",mesuré,"46,1580224441",mesuré,"44,4223215282",mesuré,"39,5047145834",mesuré,"40,7487443524",mesuré,"41,8155919153",mesuré,"34,2282344593",mesuré,"32,1141172297",projection,30,cible,"29,0333333333",projection,"28,0666666667",projection,"27,1",cible,"26,2",projection,"25,3",cible,"Cible SNBC run 2
Chiffres 2023 sont des calculs SGPE ",2024-08-02 3:19pm,,Existant,true,false,false,,Faustine : 2024 doit apparaître en projection,
Emissions des usines industrielles françaises de raffinage ,9c6bbf1a-aca6-452c-8e5a-c078f9c5dce0,Energie,Emissions,Atténuation,3,Barres simple,,"Au sein du secteur industriel, le raffinage des produits pétroliers nécessaire à la production de carburants emporte des enjeux particuliers, mais les efforts de décarbonation doivent également porter sur ces unités pour atteindre nos objectifs. L'indicateur représente les émissions annuelles de GES des raffineries nationales.
",Millions de tonnes d'équivalent-CO2 par an,Hexagone et outre-mer,CITEPA,,https://ressources.citepa.org/Comm_Divers/Secten/Citepa_Secten%202024.pdf,https://www.citepa.org/fr/secten/,Lien seulement,,"9,6052536383",mesuré,"9,097393259",mesuré,"8,709713439",mesuré,"7,185013105",mesuré,"6,5206359867",mesuré,"6,7584719087",mesuré,"7,18846892",mesuré,"7,44423446",projection,"7,7",cible,"7,7",projection,"7,7",projection,"6,8",cible,"6,55",projection,"6,3",cible,SNBC run 2,2024-08-02 3:19pm,,Existant,true,false,false,,Faustine : 2024 doit apparaître en projection,
Emissions SO2 de l'industrie de l'énergie ,28ca5db9-b812-40a9-b1e8-e5efb2a34539,Energie,Pollution,"Santé, Biodiversité",37,Barres simple,,"Le dioxyde de soufre est un polluant atmosphérique aux effets délétères sur la santé (problèmes respiratoires) et l'environnement (notamment par la formation de pluies acides). L'indicateur représente les émissions de SO2 du secteur de l'industrie de l'énergie. 
",Kilotonnes,Hexagone,CITEPA,,https://ressources.citepa.org/Comm_Divers/Secten/Citepa_Secten%202024.pdf,https://www.citepa.org/fr/secten/,Lien seulement,,"40,7431232811",mesuré,"38,8704085845",mesuré,"27,0490572842",mesuré,"19,5904392264",mesuré,"25,1390645904",mesuré,"20,4117880981",mesuré,"18,9450015456",mesuré,,,,,,,,,,,,,,,PREPA: -77% en 2030 vs 2005 (tous secteurs),2024-08-02 3:19pm,,Existant,true,true,false,,,
Production primaire énergie renouvelable électrique,6e731955-a124-4665-800d-a7e2f8fdb312,Energie,Transversal Energie Renouvelable,Atténuation,4,Barres simple,,"La majorité de l'énergie que nous consommons provient de sources fossiles (pétrole, gaz). La substitution par des sources renouvelables est un levier important pour diminuer nos émissions de gaz à effet de serre. L'indicateur présente la production totale d'énergie électrique à partir de sources renouvelables électriques (hydraulique et énergies marines hors pompages, éolien, solaire photovoltaïque, biomasse).","Térawattheures 

",Hexagone (hors Corse pour les projections),SDES,,https://www.statistiques.developpement-durable.gouv.fr/media/6368/download?inline,https://www.statistiques.developpement-durable.gouv.fr/bilan-energetique-de-la-france-en-2022-donnees-provisoires,Fichier et lien,,"92,432476",mesuré,"112,671284",mesuré,"112,23444",mesuré,"124,221791",mesuré,"120,477055",mesuré,"112,4912418095",mesuré,128,projection,143,projection,157,projection,167,projection,177,projection,187,projection,197,projection,207,cible,scenario référence PPE,2024-08-02 3:19pm,,Existant,true,false,false,,Faustine : 2022 et 2023 doivent apparaître en projection,
Production primaire énergie renouvelable thermique ,a8e6a34c-0efb-4b54-885e-df2c15aacf9a,Energie,Transversal Energie Renouvelable,Atténuation,5,Barres simple,,"La majorité de l'énergie que nous consommons provient de sources fossiles (pétrole, gaz). La substitution par des sources renouvelables est un levier important pour diminuer nos émissions de gaz à effet de serre. L'indicateur présente la production totale d'énergie thermique à partir de sources renouvelables . ","Térawattheures 

",Hexagone et outre-mer,SDES,,https://www.statistiques.developpement-durable.gouv.fr/media/6368/download?inline,https://www.statistiques.developpement-durable.gouv.fr/bilan-energetique-de-la-france-en-2022-donnees-provisoires,Fichier et lien,,"205,6",mesuré,"211,1",mesuré,"215,1",mesuré,"208,8",mesuré,"229,6",mesuré,"221,6",mesuré,,,,,,,,,,,,,,,,,,2024-08-02 3:19pm,,Existant,true,true,false,,,
Consommation d'énergie issue de déchets renouvelables pour la production d'électricité et de chaleur commercialisée,2148391c-8964-4a87-a189-e9ce50cb3cbc,Energie,Transversal Energie Renouvelable,"Atténuation, Ressources",6,Barres simple,,"Les déchets peuvent également être source d'énergie renouvelable. L'indicateur représente la consommation d'énergie issue de déchets renouvelables pour la production d'électricité et de chaleur commercialisée.

",Térawattheures ,Hexagone et outre-mer,"SDES, bilan de l'énergie 2023",,https://www.statistiques.developpement-durable.gouv.fr/media/6368/download?inline,https://www.statistiques.developpement-durable.gouv.fr/bilan-energetique-de-la-france-en-2022-donnees-provisoires,Fichier et lien,,"13,8311002778",mesuré,"13,9343380556",mesuré,"13,82885",mesuré,"13,4473966667",mesuré,"13,3930488889",mesuré,"13,5280222855",mesuré,,,,,,,,,,,,,,,,,Pas de cible,2024-08-02 3:19pm,,Existant,true,true,false,,,
Electricité produite totale,34e56881-dea8-44c8-859c-497458a766c6,Energie,Electricité,Atténuation,8,Barres simple,,"L'électrification des usages (dans les transports, l'industrie…) est l'un des leviers permettant de réduire notre dépendance aux sources d'énergie fossiles, mais elle nécessite une production suffisante d'électricité.
L'indicateur représente la production totale nette d'électricité de l'année. ",Térawattheures ,Hexagone (hors Corse pour les projections),SDES,,https://www.statistiques.developpement-durable.gouv.fr/media/6368/download?inline,https://www.statistiques.developpement-durable.gouv.fr/bilan-energetique-de-la-france-en-2022-donnees-provisoires,Fichier et lien,,"530,2857303323",mesuré,"550,4188513042",mesuré,"539,4467198117",mesuré,"502,1434806599",mesuré,"525,15093207",mesuré,"447,6572169454",mesuré,"481,946031746",projection,"514,7137566138",projection,"549,5079365079",cible,"557,0156756312",projection,"564,5234147545",projection,"572,0311538778",projection,"579,5388930011",projection,"587,0466321244",cible,scenario référence PPE,2024-08-02 3:19pm,,Existant,true,false,false,,Faustine : 2023 et 2024 doivent apparaître en projection,
Part d'énergie renouvelable dans la production d'électricité,910c4d3b-9b37-430b-a37b-86bb2c9046de,Energie,Electricité,Atténuation,9,Barres simple,,"La production d'électricité à partir de sources renouvelables permet de décarboner notre mix électrique, en se substituant à des sources de production fossile.
L'indicateur présente la part d'électricité renouvelable dans l'ensemble de l'électricité réellement produite en France dans l'année.",Pourcents, Hexagone (hors Corse pour les projections),SDES (indicateur PPE),,https://www.statistiques.developpement-durable.gouv.fr/media/6368/download?inline,https://www.statistiques.developpement-durable.gouv.fr/bilan-energetique-de-la-france-en-2022-donnees-provisoires,Lien seulement,,"17,4306926837",mesuré,"20,4700990406",mesuré,"20,805472696",mesuré,"24,7383060389",mesuré,"22,9414150566",mesuré,"25,1288793191",mesuré,"26,5589903368",projection,"27,7824321115",projection,"28,5710159161",cible,"29,9812029187",projection,"31,3538810568",projection,"32,6905272086",projection,"33,9925417222",projection,"35,2612533098",cible,scenario référence PPE,2024-08-02 3:19pm,,Existant,true,false,false,,Faustine : 2023 et 2024 doivent apparaître en projection,
Puissance installée éolien offshore,92353e5d-c5f6-47bf-9dfe-dc4f7b19b76c,Energie,Eolien,Atténuation,10,Barres simple,,"La production d'électricité à partir de sources renouvelables, en l'occurrence le vent en mer, permet de décarboner notre mix électrique, en se substituant à des sources de production fossile.
L'indicateur de puissance installée représente la capacité de production disponible (raccordée) au 31 décembre de l'année considérée.
",Gigawatts, Hexagone (hors Corse pour les projections),SDES,,https://www.statistiques.developpement-durable.gouv.fr/media/7331/download?inline,https://www.statistiques.developpement-durable.gouv.fr/tableau-de-bord-eolien-premier-trimestre-2024-0,Fichier et lien,,,,,,,,,,,,"0,484",mesuré,"1,477",mesuré,"2,2385",projection,3,cible,"3,2",projection,"3,4",projection,"3,6",projection,"3,8",projection,4,cible,scenario référence PPE,2024-08-02 3:19pm,,Existant,true,false,false,,Faustine : 2024 doit apparaître en projection,
Puissance installée éolien terrestre,25c0f7c2-7c34-4b4b-94ac-c3a9d64807d1,Energie,Eolien,Atténuation,11,Barres simple,,"La production d'électricité à partir de sources renouvelables, en l'occurrence le vent à terre, permet de décarboner notre mix électrique, en se substituant à des sources de production fossile.
L'indicateur de puissance installée représente la capacité de production disponible (raccordée) au 31 décembre de l'année considérée. 

",Gigawatts, Hexagone (hors Corse pour les projections),SDES,,https://www.statistiques.developpement-durable.gouv.fr/media/7331/download?inline,https://www.statistiques.developpement-durable.gouv.fr/tableau-de-bord-eolien-premier-trimestre-2024-0,Fichier et lien,,"13,746",mesuré,"15,413",mesuré,"16,765",mesuré,"18,006",mesuré,"19,251",mesuré,"20,772",mesuré,"21,899",mesuré,"23,4495",projection,25,cible,"26,6",projection,"28,2",projection,"29,8",projection,"31,4",projection,33,cible,scenario référence PPE,2024-08-02 3:19pm,,Existant,true,false,false,,Faustine : 2024 doit apparaître en projection,
Production d’électricité éolien offshore,90249118-0b79-474b-8e0d-4f0f19d770bd,Energie,Eolien,Atténuation,12,Barres simple,,"La production d'électricité à partir de sources renouvelables, en l'occurrence le vent, permet de décarboner notre mix électrique, en se substituant à des sources de production fossile.
L'indicateur représente la production réelle d'énergie dans l'année à partir d'éoliennes en mer. ",Térawattheures  par an, Hexagone (hors Corse pour les projections), DITP (PPG),,https://www.statistiques.developpement-durable.gouv.fr/publicationweb/620,https://www.statistiques.developpement-durable.gouv.fr/tableau-de-bord-eolien-quatrieme-trimestre-2023-0,Lien seulement,,,,,,,,,,,,,,"1,9",mesuré,"5,385",projection,"10,785",cible,"11,468",projection,"12,151",projection,"12,834",projection,"13,517",projection,"14,2",cible,scenario référence PPE,2024-08-02 3:19pm,,Existant,true,false,false,,Faustine : 2023 et 2024 doivent apparaître en projection,
Production d'électricité éolien terrestre,9c662070-7a13-4c1f-b896-06e1a9f22ed0,Energie,Eolien,Atténuation,13,Barres simple,,"La production d'électricité à partir de sources renouvelables, en l'occurrence le vent, permet de décarboner notre mix électrique, en se substituant à des sources de production fossile.
L'indicateur représente la production réelle d'énergie dans l'année à partir d'éoliennes terrestres. 
",Térawattheures , Hexagone (hors Corse pour les projections),SDES,,https://www.statistiques.developpement-durable.gouv.fr/publicationweb/620,https://www.statistiques.developpement-durable.gouv.fr/tableau-de-bord-eolien-quatrieme-trimestre-2023-0,Lien seulement,,"22,595",mesuré,"27,803",mesuré,"34,135",mesuré,"39,685",mesuré,"36,765",mesuré,"37,872",mesuré,"48,71",mesuré,"49,755",projection,"50,8",cible,"53,44",projection,"56,08",projection,"58,72",projection,"61,36",projection,64,cible,scenario référence PPE,2024-08-02 3:19pm,,Existant,true,false,false,,Faustine : 2024 doit apparaître en projection,
"Puissance cumulée installée de production électrique d’origine
solaire",3b69cea7-b154-4f9d-89c2-3769851c759b,Energie,Solaire,Atténuation,14,Barres simple,,"La production d'électricité à partir de sources renouvelables, en l'occurrence le soleil, permet de décarboner notre mix électrique, en se substituant à des sources de production fossile.
L'indicateur de puissance installée représente la capacité de production disponible (raccordée) au 31 décembre de l'année considérée. ",Gigawatts, Hexagone (hors Corse pour les projections),SDES,,https://www.statistiques.developpement-durable.gouv.fr/media/7330/download?inline,https://www.statistiques.developpement-durable.gouv.fr/tableau-de-bord-solaire-photovoltaique-premier-trimestre-2024-0,Fichier et lien,,"7,704",mesuré,"8,615",mesuré,"9,565",mesuré,"10,776",mesuré,"13,547",mesuré,"16,167",mesuré,"19,27",mesuré,"23,085",projection,"26,9",cible,"32,32",projection,"37,74",projection,"43,16",projection,"48,58",projection,54,cible,scenario référence PPE,2024-08-02 3:19pm,,Existant,true,false,false,,Faustine : 2024 doit apparaître en projection,
Production d’électricité d'origine solaire (photovoltaïque),d0b5b788-853d-4a54-ab1d-dc4d6614b64b,Energie,Solaire,Atténuation,15,Barres simple,,"La production d'électricité à partir de sources renouvelables, en l'occurrence le soleil, permet de décarboner notre mix électrique, en se substituant à des sources de production fossile.
L'indicateur représente la production réelle d'énergie dans l'année. ",Térawattheures , Hexagone (hors Corse pour les projections),SDES,,https://www.statistiques.developpement-durable.gouv.fr/media/7330/download?inline,https://www.statistiques.developpement-durable.gouv.fr/tableau-de-bord-solaire-photovoltaique-premier-trimestre-2024-0,Fichier et lien,,"9,102626501",mesuré,"10,768",mesuré,"11,613",mesuré,"13,167",mesuré,"14,66",mesuré,"19,071",mesuré,"22,729",mesuré,"27,8645",projection,33,cible,"39,4",projection,"45,8",projection,"52,2",projection,"58,6",projection,65,cible,scenario référence PPE,2024-08-02 3:19pm,,Existant,true,false,false,,Faustine : 2024 doit apparaître en projection,
Production nucléaire,277da56b-c34e-4368-9366-a76c69ca5617,Energie,Nucléaire,Atténuation,18,Barres simple,,"Energie faiblement carbonée, le nucléaire représente la principale source de l'électricité produite en France.
L'indicateur représente la production nette d'électricité d'origine nucléaire dans l'année. 

",Térawattheures ,Hexagone,RTE,,https://analysesetdonnees.rte-france.com/sites/default/files/graphDownloads/%25C3%2589volution_de_la_production_nucl%25C3%25A9aire_2024-07-17_10-09.csv,https://analysesetdonnees.rte-france.com/production/nucleaire,Fichier et lien,,"379,1",mesuré,"393,2",mesuré,"379,5",mesuré,"335,4",mesuré,"360,7",mesuré,279,mesuré,"320,4",mesuré,"341,7",projection,363,cible,"362,4",projection,"361,8",projection,"361,2",projection,"360,6",projection,360,cible,scenario référence PPE,2024-08-02 3:19pm,,Existant,true,false,false,,Faustine : 2024 doit apparaître en projection,
Production d'énergie à partir de biogaz,5688e382-4234-41ee-989d-880711676b26,Energie,Biogaz,"Atténuation, Ressources",19,Barres simple,,"La production d'énergie à partir de biogaz (soit par injection de gaz dans le réseau, soit par cogénération de chaleur et d'électricité) permet de remplacer une production d'énergie équivalente à partir de sources fossiles.
L'indicateur représente la quantité d'énergie réellement produite dans l'année. ",Térawattheures ,Hexagone et outre-mer,SDES,,https://www.statistiques.developpement-durable.gouv.fr/media/6755/download?inline,https://www.ecologie.gouv.fr/sites/default/files/documents/CGDD_A6_CHIFFRES_CLES_EnR_2023_v4_231023_SH_signets.pdf,Lien seulement,,"5,3173152222",mesuré,"6,0495338889",mesuré,"7,0158572222",mesuré,"8,3570359444",mesuré,"11,0260126111",mesuré,"13,5476682337",mesuré,15,cible,17,cible,20,cible,24,cible,29,cible,35,cible,44,cible,50,cible,Cible PPE2,2024-08-02 3:19pm,,Existant,true,false,false,,Faustine : 2023 et 2024 doivent apparaître en projection,
Proportion de biogaz injectée dans le réseau,921b53fb-c701-4335-9f07-b6f844339bb3,Energie,Biogaz,"Atténuation, Ressources",21,Barres simple,,"Le biogaz, source d'énergie renouvelable, peut être utilisé en replacement du gaz naturel fossile, notamment en étant injecté dans les réseaux de transport de gaz. L'indicateur représente la part de biogaz dans le volume de gaz circulant dans le réseau.

",Pourcents,Hexagone et outre-mer,SDES (GRTgaz pour 2023),,https://www.statistiques.developpement-durable.gouv.fr/media/6755/download?inline,https://www.ecologie.gouv.fr/sites/default/files/documents/CGDD_A6_CHIFFRES_CLES_EnR_2023_v4_231023_SH_signets.pdf,Lien seulement,,"0,0815350936",mesuré,"0,1498669406",mesuré,"0,2544546745",mesuré,"0,4896138777",mesuré,"0,9070421226",mesuré,"1,6353069947",mesuré,"2,3884514436",mesuré,"4,1901012373",projection,"5,9917510311",projection,"7,7934008249",projection,"9,5950506187",projection,"11,3967004124",projection,"13,1983502062",projection,15,cible,Cible : augmentation à 15% de la proportion de biogaz injecté dans les réseaux,2024-08-02 3:19pm,,Existant,true,false,false,,Faustine : 2024 doit apparaître en projection,
Energie produite par géothermie profonde,a3b41ba9-a7b9-4af0-bf40-8c2441640564,Energie,Géothermie,Atténuation,23,Barres simple,,"La géothermie consiste à utiliser la chaleur des aquifères du sous-sol pour produire de la chaleur et/ou de l'électricité, afin de remplacer une production d'énergie équivalente à partir de sources fossiles. La géothermie profonde exploite des nappes d’eau souterraines de températures comprises entre 30 °C et 200 °C, à des profondeurs généralement comprises entre 500 et 3 000 mètres. L'indicateur représente la quantité d'énergie produite dans l'année par géothermie profonde.",Térawattheures ,Hexagone et outre-mer,SDES,,https://www.statistiques.developpement-durable.gouv.fr/media/6755/download?inline,https://www.ecologie.gouv.fr/sites/default/files/documents/CGDD_A6_CHIFFRES_CLES_EnR_2023_v4_231023_SH_signets.pdf,Lien seulement,,"1,9258386111",mesuré,"2,0231347222",mesuré,"2,1622423889",mesuré,"2,2419728889",mesuré,"2,2990163333",mesuré,"2,2",mesuré,"2,5833333333",projection,"2,9666666667",projection,"3,35",projection,"3,7333333333",projection,"4,1166666667",projection,"4,5",cible,"5,25",projection,6,cible,Cible PPE2,2024-08-02 3:19pm,,Existant,true,false,false,,Faustine : 2023 et 2024 doivent apparaître en projection,
Puissance d’électrolyse installée ,3dae5901-b3d9-4539-a2c9-eeb039e32633,Energie,Hydrogène,"Atténuation, Ressources",24,Barres simple,,"Le développement de l'hydrogène bas carbone nécessite la mise en service de capacités importantes d'électrolyse décarbonée. L'indicateur représente la puissance totale d'électrolyse d'ores et déjà installée sur le territoire national. 
",Mégawatts,Hexagone et outre-mer,"Source PPG, données MTECT",,https://pilote.modernisation.gouv.fr/chantier/CH-059,,Lien seulement,,,,,,,,,,,,10,mesuré,20,cible,80,cible,150,cible,600,cible,2075,projection,3550,projection,5025,projection,6500,cible,Jalons OPAS (Fla3 et pertes de débouchés),2024-08-02 3:19pm,,Existant,true,false,false,,Faustine : 2023 et 2024 doivent apparaître en projection,
Puissance d’électrolyse contractualisée sur les projets nationaux annoncés,32bfae7e-7d73-4623-bee9-a714e62fdd96,Energie,Hydrogène,"Atténuation, Ressources",25,Barres simple,,"Le développement de l'hydrogène bas carbone nécessite la mise en service de capacités importantes d'électrolyse décarbonée. L'indicateur représente la puissance totale d'électrolyse prévue dans les projets lauréats des appels d'offre lancés par le gouvernement à cet effet. 


",Mégawatts,Hexagone et outre-mer,"Source PPG, données MTECT",,https://pilote.modernisation.gouv.fr/chantier/CH-059,,Lien seulement,,,,,,,,,,,,390,mesuré,1330,cible,1600,cible,1950,cible,2100,cible,,,,,,,,,Cible PPG,2024-08-02 3:19pm,,Existant,true,false,false,,Faustine : 2023 et 2024 doivent apparaître en projection,
Production d'énergie primaire à partir de biomasse solide,d21e15eb-9618-4835-9546-98567e68e5fe,Energie,Bois,"Atténuation, Ressources",27,Barres simple,,"La biomasse solide, notamment le bois, représente aujourd'hui une source importante d'énergie, en particulier pour la production de chaleur. L'indicateur représente la production d'énergie à partir de biomasse solide, qu'il s'agisse de bois, de charbon de bois ou de résidus. 

",Térawattheures ,Hexagone et outre-mer,SDES- Chiffres clés des énergies renouvelables 2023 du Datalab,,https://www.statistiques.developpement-durable.gouv.fr/media/6755/download?inline,https://www.ecologie.gouv.fr/sites/default/files/documents/CGDD_A6_CHIFFRES_CLES_EnR_2023_v4_231023_SH_signets.pdf,Lien seulement,,"120,5745016667",mesuré,"119,9271175",mesuré,"120,4849663889",mesuré,"113,5680647222",mesuré,"124,964525",mesuré,"115,3268451273",mesuré,"170,7845634182",projection,"226,2422817091",projection,"281,7",cible,"291,3666666667",projection,"301,0333333333",projection,"310,7",cible,"318,55",projection,"326,4",cible,Run2,2024-08-02 3:19pm,,Existant,true,false,false,,Faustine : 2023 et 2024 doivent apparaître en projection,
"Importations de bois énergie, en valeur",caac60a7-53a9-4966-a08d-3da519f0d9d1,Energie,Bois,"Atténuation, Ressources, Économie",28,Barres simple,,"L'usage de bois comme source d'énergie n'est vertueux que dans un cadre de gestion durable de la ressource, et sa production nationale est donc souhaitable tant sur le plan environnemental qu'en termes de souveraineté économique et d'emploi. L'indicateur représente les importations de bois utilisé pour produire notre énergie.
",Millions d'euros 2022,Hexagone et outre-mer,"calculs SDES, d’après DGDDI, bilan énergétique de la France",,https://www.statistiques.developpement-durable.gouv.fr/media/7345/download?inline,https://www.statistiques.developpement-durable.gouv.fr/bilan-energetique-de-la-france-en-2023-donnees-provisoires-0,Fichier et lien,,"77,788546",mesuré,"100,657402",mesuré,"124,185073",mesuré,"112,90732",mesuré,"154,836735",mesuré,"299,50038",mesuré,"324,659125",mesuré,,,,,,,,,,,,,,,Pas de cible,2024-08-02 3:19pm,,Existant,true,true,false,,,
"Exportations de bois énergie, en valeur",b8b71801-cc34-4774-87e9-40ed0ca1fa36,Energie,Bois,"Atténuation, Ressources, Économie",29,Barres simple,,"L'usage de bois comme source d'énergie n'est vertueux que dans un cadre de gestion durable de la ressource, et sa production nationale est donc souhaitable tant sur le plan environnemental qu'en termes de souveraineté économique et d'emploi. L'indicateur représente les exportations de bois à destination de la production d'énergie
",Millions d'euros 2022,Hexagone et outre-mer,"calculs SDES, d’après DGDDI, bilan énergétique de la France",,https://www.statistiques.developpement-durable.gouv.fr/media/7345/download?inline,https://www.statistiques.developpement-durable.gouv.fr/bilan-energetique-de-la-france-en-2023-donnees-provisoires-0,Fichier et lien,,"66,736736",mesuré,"71,791186",mesuré,"53,779343",mesuré,"40,963338",mesuré,"52,25398",mesuré,"86,049942",mesuré,"75,228676",mesuré,,,,,,,,,,,,,,,Pas de cible,2024-08-02 3:19pm,,Existant,true,true,false,,,
Production nationale de bois énergie,73a87d15-7edb-4f49-ad2c-933d49b1b347,Energie,Bois,"Atténuation, Ressources",30,Barres simple,,"L'usage de bois comme source d'énergie n'est vertueux que dans un cadre de gestion durable de la ressource, et sa production nationale est donc souhaitable tant sur le plan environnemental qu'en termes de souveraineté économique et d'emploi. L'indicateur représente la production nationale de bois énergie en valeur (y compris les marges) issue des déchets, des forêts, des bois déjà utilisés. 
",Millions d'euros courants,Hexagone et outre-mer,"calculs SDES, d’après DGDDI, bilan énergétique de la France",,https://www.statistiques.developpement-durable.gouv.fr/media/7345/download?inline,https://www.statistiques.developpement-durable.gouv.fr/bilan-energetique-de-la-france-en-2023-donnees-provisoires-0,Fichier et lien,,"2126,2734593487",mesuré,"2026,3302811369",mesuré,"2061,5793428855",mesuré,"2115,7720443727",mesuré,"2417,2051873576",mesuré,"2356,4225512696",mesuré,"2909,1922769957",mesuré,,,,,,,,,,,,,,,Pas cible ,2024-08-02 3:19pm,,Existant,true,true,false,,,
Volume de chaleur livrée par les réseaux,cfcdeae8-59aa-4e3d-9c64-fb1032d8ae49,Energie,Chaleur et froid,Atténuation,31,Barres simple,,"Les réseaux de chaleur permettent de fournir de la chaleur produite de manière centralisée, souvent sur la base de sources renouvelables ou difficiles d'accès, à des bâtiments publics ou privés, sans devoir passer par une conversion électrique peu efficace.
L'indicateur représente la quantité de chaleur réellement fournie par ces réseaux dans l'année.
",Térawattheures ,Hexagone,Enquête annuelle sur les réseaux de chaleur et froid SDES - SNCU,,https://www.connaissancedesenergies.org/sites/connaissancedesenergies.org/files/pdf-actualites/Enqu%C3%AAte%20des%20r%C3%A9seaux.pdf,https://fedene.fr/lenquete-2023-sur-les-reseaux-de-chaleur-froid-en-france/,Lien seulement,,,,,,"25,6",mesuré,"25,4",mesuré,"29,8",mesuré,"26,3",mesuré,"31,0444444444",projection,"35,7888888889",projection,"40,5333333333",projection,"45,2777777778",projection,"50,0222222222",projection,"54,7666666667",projection,"59,5111111111",projection,69,cible,Jalons SNBC ,2024-08-02 3:19pm,,Existant,true,false,false,,Faustine : 2023 et 2024 doivent apparaître en projection,
Part de chaleur renouvelable et de récupération dans les réseaux de chaleur,12452ab2-7e86-4c6d-a610-e4e87d83a715,Energie,Chaleur et froid,Atténuation,32,Barres simple,,"L'alimentation des réseaux de chaleur par des sources renouvelables plutôt que fossiles permet de diminuer nos émissions de GES.
L'indicateur présente la part de la chaleur livrée provenant de sources renouvelables et de récupération.",Pourcents,Hexagone,Enquête annuelle SDES / SNCU,,https://www.connaissancedesenergies.org/sites/connaissancedesenergies.org/files/pdf-actualites/Enqu%C3%AAte%20des%20r%C3%A9seaux.pdf,https://fedene.fr/lenquete-2023-sur-les-reseaux-de-chaleur-froid-en-france/,Lien seulement,,"54,6875",mesuré,"55,5970149254",mesuré,"58,9552238806",mesuré,"60,4166666667",mesuré,"62,1160409556",mesuré,"66,2116040956",mesuré,"67,3101535836",projection,"68,4087030717",projection,"69,5072525597",projection,"70,6058020478",projection,"71,7043515358",projection,"72,8029010239",projection,"73,9014505119",projection,75,cible,Cible Planif,2024-08-02 3:19pm,,Existant,true,false,false,,Faustine : 2023 et 2024 doivent apparaître en projection,
